
Pez espada,11,habbit,"La alimentación de los adultos incluye peces pelágicos como el atún, barracuda, pez volador, verdel, etc. También comen calamares cuando estos están disponibles. Se sabe que los peces espada suelen mantenerse en aguas más profundas durante el día, mientras que a la noche ascienden a zonas más superficiales."
Pez espada,11,appearance,"Las hembras son más grandes que los machos, los cuales rara vez superan los 135 kg (300 libras). Según estudios llevados a cabo en el Pacífico noroccidental, las hembras maduran a los 4 o 5 años de edad, mientras que los machos a los 3 o 4 años. El pez espada es homeotermo, lo cual le permite mantener una temperatura 10 o 15 °C superior a la del agua en la que se mueve. El calentamiento de los ojos mejora la visión, y subsecuentemente aumenta las posibilidades de atrapar una presa. De las más de 25 000 especies de peces óseos, solo se sabe que, unas 22 aproximadamente, tienen la capacidad de mantener la temperatura de su cuerpo por encima de la temperatura del agua, entre las que se encuentran también los marlines, atunes y algunas especies de tiburón (familias Lamnidae y Alopidae)."
Pez espada,11,mating,"Las estimaciones varían considerablemente, pero es posible que las hembras carguen entre 1 y 29 millones de huevos en sus gónadas. Los machos y las hembras forman parejas durante la época de apareamiento. El desove se lleva a cabo durante todo el año en el Mar Caribe, Golfo de México, costas de Florida y en otras zonas de aguas cálidas ecuatoriales, mientras que en zonas más frescas solo ocurre en primavera y verano. El sitio de desove más conocido es el Mediterráneo fuera de las costas de Italia, donde la época de puesta de huevos se extiende desde julio hasta agosto, cuando los machos son frecuentemente vistos persiguiendo hembras. Se ha observado a peces espada desovando en el océano Atlántico, en profundidades superiores a los 75 m. En el Pacífico norte, el desove suele ocurrir en aguas de más de 24 °C desde marzo a julio, y todo el año en el Pacífico ecuatorial."
Tiburón peregrino,13,habbit,"Los estudios realizados en 2003 han desmentido la idea de que los tiburones peregrinos hibernen y han demostrado que permanecen más o menos activos durante todo el año. En invierno, los tiburones peregrinos se trasladan a aguas abisales (profundidades de hasta 900 m o más) y se alimentan de grandes concentraciones de plancton en zonas muy profundas. Ejemplares marcados, seguidos por satélite, confirmaron que los tiburones peregrinos se mueven miles de kilómetros durante los meses de invierno, buscando grandes concentraciones de plancton abisal. Los tiburones peregrinos se alimentan en ocasiones en o cerca de la superficie, manteniendo la boca abierta de par en par, mientras disponen verticalmente abiertas totalmente sus agallas. Se trata de un movimiento lento, no mayor de dos nudos de velocidad, y no tratan de eludir acercarse a los barcos (a diferencia de los grandes tiburones blancos que se muestran recelosos). Son totalmente inofensivos para los seres humanos, que nadan a su alrededor, y no suelen prestarles ninguna atención. Los tiburones peregrinos son animales gregarios y forman segregaciones diferenciadas por sexo, por lo general en pequeños grupos de tres o cuatro individuos, aunque en ocasiones han podido ser avistados hasta 100 tiburones peregrinos nadando juntos. Parecen seguir indicaciones visuales, pues aunque el tiburón peregrino tiene ojos bastante pequeños para su tamaño, éstos están completamente desarrollados y pueden incluso inspeccionar visualmente barcos, posiblemente porque los pueden confundir con sus propios congéneres. Se cree que las hembras se habitúan a buscar aguas poco profundas para dar a luz sus crías. Estos tiburones tienen pocos depredadores, pero se conoce que las orcas y los tiburones tigre pueden alimentarse ocasionalmente de ellos, así como las ya mencionadas lampreas, si bien es poco probable que sean capaces de atravesar la gruesa piel de estos tiburones. A pesar de que el tiburón peregrino es grande y lento, se ha informado de ejemplares saltando fuera del agua, aunque se ignora el por qué de este comportamiento. Algunos especialistas argumentan, sin base probada, que puede ser debido al intento del animal por desembarazarse de parásitos externos adheridos a su piel."
Tiburón peregrino,13,appearance,"El tiburón peregrino es uno de los mayores peces conocidos, ocupando el segundo lugar en tamaño tras el tiburón ballena. El mayor espécimen medido con exactitud fue atrapado en una red de pesca en la bahía de Fundy, Canadá, en 1851. Tenía una longitud total de 12,27 m y pesaba aproximadamente nueve toneladas. Existen noticias en Noruega del avistamiento de tres tiburones peregrinos en torno a los 12 m de longitud, pero deben ser considerados ejemplares dudosos dado que en la misma zona nunca han sido capturados ejemplares de tan gran tamaño. Normalmente, el tiburón peregrino suele medir una longitud entre 6 y 8 metros, aunque hay especímenes que sobrepasan los 10 m o más, pero después de décadas de intensa pesca, los avistamientos de ejemplares de mayor tamaño son poco frecuentes. Estos tiburones poseen la típica forma de cuerpo en huso (lamniformes) y suelen ser confundidos a menudo con los grandes tiburones blancos. Las dos especies pueden diferenciarse fácilmente entre sí por la gran boca cavernosa del tiburón peregrino (en los mayores ejemplares de un diámetro superior a 1 m), abierta casi constantemente mientras nadan con lentitud, filtrando el plancton del que se alimentan. Poseen largas y más evidentes fisuras de las agallas, que casi rodean la cabeza, ojos pequeños y tronco más estrecho, aunque sí mayor longitud total. Mientras que los tiburones blancos poseen largas hileras de dientes aserrados, los de los tiburones peregrinos son mucho más pequeños (5-6 mm) y en forma de gancho, siendo realmente funcionales solo las 3 o 4 filas de la mandíbula superior y las 6 o 7 hileras de la inferior. Otra distintiva característica del tiburón peregrino incluye un gran pedúnculo caudal, piel rugosa de fuerte textura y una fina capa de mucosa que segregan sobre su piel. Posee un prominente hocico algo curvo (claramente visible en los especímenes más jóvenes), y una gran aleta caudal. En los grandes individuos, la aleta dorsal aparece con frecuencia creando una estela por encima de la superficie.  Su coloración puede ser muy variable (y probablemente depende de las condiciones de observación y del estado del animal en sí): comúnmente, presentan dorsalmente un color marrón oscuro a negro o negro azulado, difuminándose ventralmente en un blanco grisáceo. Los tiburones suelen tener marcas en la piel, posiblemente por sus frecuentes encuentros con lampreas y otros tiburones. El hígado del tiburón peregrino constituye del 20 al 25% de su peso corporal, extendiéndose a todo lo largo de su cavidad abdominal y se cree que desempeñan un importante papel en la flotabilidad y la regulación a largo plazo de su almacenamiento de energía.En las hembras, solo el ovario derecho parece ser totalmente funcional, lo cual constituye un rasgo único entre los escualos."
Tiburón peregrino,13,mating,"Los tiburones peregrinos son ovovivíparos: los embriones se desarrollan de huevos que no salen del interior del abdomen de la madre, si bien las hembras no poseen placentas. Los fetos se alimentan de los óvulos no fertilizados en el interior de la madre, un comportamiento conocido como oofagia. Se cree que la gestación abarca más de un año (puede incluso que hasta 2 o 3), desconociéndose con seguridad el número de fetos que son alumbrados vivos, aunque cuando nacen ya están plenamente desarrollados, alcanzado de 1,5 a 2 m de longitud. Solo existe constancia de la captura de una hembra embarazada, en cuyo interior fueron descubiertos 6 fetos aún por nacer."
Tiburón mako,33,habbit,"Se sabe que ha atacado a personas y embarcaciones sin provocación previa, por lo que es considerado peligroso. Es muy buscado por los aficionados a la pesca deportiva ya que es muy combativo y potente. Al igual que los otros tiburones pertenecientes a la familia Lamnidae los marrajos mantienen una temperatura corporal superior a la del medio (son homeotermos) lo que les permite realizar una digestión más rápida, triplicar su fuerza muscular o actuar más rápidamente. Es un tiburón pelágico de hábitos oceánicos."
Tiburón mako,33,appearance,"El marrajo común es un gran tiburón con el cuerpo fusiforme, robusto, macizo y muy hidrodinámico. Su hocico es cónico y puntiagudo y la boca es grande y estrecha, en forma de U con amplios diastemas separando las hemimandíbulas. Los ojos son redondos, negros y de tamaño mediano. Aletas escapulares medianas, de extremo ligeramente redondeado. Primera dorsal mediana y de extremo ligeramente redondeado, con su origen justo por detrás de las escapulares; segunda dorsal y anal diminutas, ambas enfrentadas. Aleta caudal grande de lóbulos anchos y en forma de media luna, con el lóbulo superior ligeramente más grande que el inferior. Hendiduras branquiales grandes, cinco pares en total. Pedúnculo caudal deprimido y ensanchado por grandes quillas laterales muy largas. Los dientes son grandes,de cúspide ancha (en los adultos) y flexionada, con los bordes lisos, el tercer diente superior es diminuto e inclinado seguido de diastema. Es de color azul oscuro en el dorso, más claro en los costados y blanco puro en el vientre. Son tiburones de gran tamaño, habiéndose registrado el largo de una hembra capturada en 4,5 metros. El tamaño usual de ejemplares adultos bien desarrollados suele estar entre 3,5 y 4 metros de longitud, con pesos de hasta 750 kg."
Tiburón mako,33,mating,"El marrajo es un tiburón ovovivíparo, con camadas de entre 4 y 8 fetos, máxima conocida de 16. Estos pequeños tiburones miden al nacer unos 70 centímetros, y crecerán según su sexo hasta madurar a 1,9 metros los machos y 2,6-2,8 metros en las hembras."
Tiburón oceánico,41,habbit,"El tiburón oceánico es frecuentemente solitario y de movimientos lentos, y tiende a recorrer la cima de la columna de agua, cubriendo vastas extensiones de agua casi solitaria para encontrar alimento. Hasta el siglo XVI, los tiburones eran conocidos por los marineros como perros marinos y el oceánico de puntas blancas, que era el más común de los escualos que seguía a los barcos, exhibía un comportamiento canino cuando sus intereses eran molestados: cuando era atraído por algo que parecía ser comida, sus movimientos eran más ávidos, pero se aproximaba cautamente aunque en forma terca, manteniendo una distancia mínima para su seguridad, pero listo a saltar si la oportunidad se le presentaba. Los jaquetones de ley no son tiburones rápidos, pero son capaces de generar impresionantes ráfagas de velocidad. Normalmente compite por comida con los tiburones sedosos, cambiando su patrón de nado quieto por un comportamiento más agresivo.  Los grupos se forman cuando individuos cercanos convergen en fuentes de comida, tras lo cual la fábula del ""frenesí alimentario"" puede ocurrir. Este parece ocurrir, no por la presencia de sangre en el agua per se, o por rastros de sangre, pero sí por especies altamente conectadas y fuentes naturales de alimento (conservar la energía nadando lento en océano abierto no es fácil). El tiburón oceánico es predador, oportunista, altamente competitivo y con grandes incentivos para explotar los recursos a su alcance, más que evitar problemas para obtener comida en el futuro.  No parece haber segregación por sexo o por tamaño como en otras especies. Los puntas blancas siguen estelas de atunes o de calamares y pueden seguir la pista de cetáceos como delfines o ballenas piloto como carroñeros de sus crías. Su instinto está fuertemente impreso, como resultado de milenios de caza de peces cebo, que siguen a los barcos que atraviesan los océanos. Cuando la caza de ballenas ocurre en mares cálidos, los oceánicos de puntas blancas son los responsables de la mayor parte del daño a los cadáveres de ballenas flotando. "
